,date,classification_cost,penalty_cost,delivery_cost,total_cost,containers_loaded,containers_available
0,2025-06-01,980000.0,26217.58985095319,3052000.0,4058217.5898509533,110,3730
1,2025-06-02,630000.0,32603.525486682876,3402000.0,4064603.525486683,110,3620
2,2025-06-03,455000.0,32420.515370204823,2961000.0,3448420.515370205,110,3510
3,2025-06-04,420000.0,46107.100132346546,2506000.0,2972107.1001323466,110,3400
4,2025-06-05,140000.0,35014.521553018814,1141000.0,1316014.5215530188,110,3290
5,2025-06-06,210000.0,70580.08215154761,1715000.0,1995580.0821515475,110,3180
6,2025-06-07,315000.0,41710.31983250413,2016000.0,2372710.3198325043,110,3070
7,2025-06-08,350000.0,44572.83083341494,2156000.0,2550572.830833415,110,2960
8,2025-06-09,315000.0,35880.781980954256,2016000.0,2366880.781980954,110,2850
9,2025-06-10,315000.0,40394.87874483599,1792000.0,2147394.878744836,110,2740
10,2025-06-11,350000.0,44859.5562955305,2156000.0,2550859.5562955304,110,2630
11,2025-06-12,280000.0,49968.61676098457,1736000.0,2065968.6167609845,110,2520
12,2025-06-13,315000.0,34629.62306855964,2016000.0,2365629.6230685594,110,2410
13,2025-06-14,385000.0,34409.19279496349,2576000.0,2995409.1927949637,110,2300
14,2025-06-15,385000.0,39716.46954311582,2191000.0,2615716.4695431157,110,2190
15,2025-06-16,350000.0,47693.062956486254,2156000.0,2553693.0629564864,110,2080
16,2025-06-17,315000.0,39000.16140610933,1792000.0,2146000.161406109,110,1970
17,2025-06-18,350000.0,26097.63452417925,2156000.0,2532097.634524179,110,1860
18,2025-06-19,420000.0,41227.11569013862,2611000.0,3072227.1156901387,110,1750
19,2025-06-20,350000.0,37756.85292656005,2156000.0,2543756.85292656,110,1640
20,2025-06-21,315000.0,48090.74293724778,2016000.0,2379090.7429372477,110,1530
21,2025-06-22,280000.0,36530.94928477786,1736000.0,2052530.949284778,110,1420
22,2025-06-23,315000.0,32209.98753952718,1876000.0,2223209.987539527,110,1310
23,2025-06-24,350000.0,35557.5322524458,2156000.0,2541557.532252446,110,1200
24,2025-06-25,385000.0,28489.05206839404,2576000.0,2989489.052068394,110,1090
25,2025-06-26,350000.0,21225.634279040394,1932000.0,2303225.6342790406,110,980
26,2025-06-27,315000.0,43351.225705778175,1792000.0,2150351.225705778,110,870
27,2025-06-28,315000.0,31521.26783853004,1792000.0,2138521.2678385302,110,760
28,2025-06-29,350000.0,24669.812970896994,2156000.0,2530669.812970897,110,650
29,2025-06-30,350000.0,29032.04328536269,2156000.0,2535032.043285363,110,540
