,date,classification_cost,penalty_cost,delivery_cost,total_cost,containers_loaded,containers_available
0,2025-06-01,1505000.0,25127.55943715207,3122000.0,4652127.559437152,110,650
1,2025-06-02,1190000.0,35840.15860944438,2982000.0,4207840.158609444,110,650
2,2025-06-03,1260000.0,27236.4244381501,3332000.0,4619236.424438151,110,650
3,2025-06-04,1225000.0,35164.854688917156,3472000.0,4732164.854688917,110,650
4,2025-06-05,980000.0,33838.04275443293,2842000.0,3855838.042754433,110,650
5,2025-06-06,1085000.0,57251.72550465342,3612000.0,4754251.7255046535,110,650
6,2025-06-07,1085000.0,41406.16355555542,2842000.0,3968406.1635555555,110,650
7,2025-06-08,1085000.0,43398.39025222895,2422000.0,3550398.390252229,110,650
8,2025-06-09,1015000.0,37172.267381242316,2772000.0,3824172.2673812425,110,650
9,2025-06-10,1190000.0,46136.657573794146,2996000.0,4232136.657573794,110,650
10,2025-06-11,1085000.0,49222.987452125875,2492000.0,3626222.987452126,110,650
11,2025-06-12,1155000.0,40944.99459779808,2772000.0,3967944.994597798,110,650
12,2025-06-13,1190000.0,35650.36382898862,2492000.0,3717650.3638289887,110,650
13,2025-06-14,1295000.0,40682.66233775471,3192000.0,4527682.662337755,110,650
14,2025-06-15,1225000.0,32485.27395657201,3087000.0,4344485.273956572,110,650
15,2025-06-16,1190000.0,56536.163597789135,2926000.0,4172536.163597789,110,650
16,2025-06-17,1120000.0,37698.54622547028,2772000.0,3929698.5462254705,110,650
17,2025-06-18,1155000.0,26282.91403103967,2947000.0,4128282.91403104,110,650
18,2025-06-19,1155000.0,39721.02149813026,3717000.0,4911721.021498131,110,650
19,2025-06-20,1015000.0,37900.15036266231,2667000.0,3719900.150362662,110,650
20,2025-06-21,1155000.0,47094.0506814833,2772000.0,3974094.050681483,110,650
21,2025-06-22,1155000.0,43351.44491029301,2492000.0,3690351.444910293,110,650
22,2025-06-23,1225000.0,33248.84091423977,2737000.0,3995248.84091424,110,650
23,2025-06-24,1330000.0,40058.86878810584,3052000.0,4422058.868788106,110,650
24,2025-06-25,1085000.0,32974.85527070144,2947000.0,4064974.8552707015,110,650
25,2025-06-26,1295000.0,29686.55489423241,2562000.0,3886686.554894232,110,650
26,2025-06-27,1120000.0,41899.97301698412,2632000.0,3793899.973016984,110,650
27,2025-06-28,1155000.0,30916.205523830566,2632000.0,3817916.205523831,110,650
28,2025-06-29,1190000.0,25362.42625074126,2716000.0,3931362.4262507414,110,650
29,2025-06-30,1155000.0,30780.13956414464,2772000.0,3957780.1395641444,110,650
